logFC..nacl...control	logFC..h2o2...control	logFC..sorb...control	logCPM	F	PValue	FDR
KAF5830450	1.55641605662448	-0.152216131749715	0.213041460489649	9.38995004326969	123.514781377185	2.11451896748318e-09	8.78230211161348e-07
KAF5839822	2.89397714218339	-0.306127647905128	0.263650442874099	5.13172430167838	120.707205568986	2.42167049888762e-09	9.42937950504365e-07
KAF5833082	-3.22670855792486	0.057079995168395	-1.44266676660614	3.45233467294387	119.069110461123	2.62480122196242e-09	9.61912447813287e-07
KAF5832332	-2.94434002963016	0.185753601992245	-1.02419442218508	2.82207569597142	117.512381729821	2.83643663296558e-09	9.81722234631976e-07
KAF5836208	0.899476526275833	-0.349981965845506	0.550512360553492	10.0411052862372	112.735112425411	3.62135547753237e-09	1.18742340131719e-06
KAF5830011	-2.30736869699248	-0.120791415841096	-1.0612950311532	3.30939981134036	109.015941365216	4.41073085500769e-09	1.31916962537595e-06
KAF5835827	2.67524732518239	0.0682587106586468	0.984049198141434	3.8362298404405	108.865570055462	4.44663918666049e-09	1.31916962537595e-06
KAF5828488	5.61894199746244	1.34729121724571	4.45097991730798	3.79701396686724	102.595034272368	6.29788782484049e-09	1.76138104211993e-06
KAF5839522	-3.49553236566241	0.324560057764957	-2.06080366265501	3.51522651421427	102.036239372798	6.50269084570762e-09	1.76138104211993e-06
KAF5838379	-2.44653980888101	-0.304917613620457	-1.05277438089902	6.52809138530915	96.0649914980942	9.25419441821611e-09	2.40223463439527e-06
KAF5837617	4.54113742919926	-0.324809554071414	3.14537388985028	3.68043153861657	94.1746303927806	1.03933773335184e-08	2.5900296315128e-06
KAF5831827	-1.63465649140181	-0.430366474622161	-0.986153880894841	11.2809419967498	93.1292122953543	1.10931806472876e-08	2.64293524325765e-06
KAF5843052	3.52856394452131	0.653785214343482	0.913123144934086	7.51617658853936	92.6195706219288	1.14541334780026e-08	2.64293524325765e-06
KAF5842327	-3.07192505111823	0.167954787521459	-1.11583683108258	3.86778848160769	91.5398876833799	1.22649436083261e-08	2.72894995285256e-06
KAF5833684	1.98855492226312	-0.154533471343698	1.61217139713889	7.59315741689732	88.1322645897912	1.52987177806269e-08	3.28658661287261e-06
KAF5827549	-1.84308766250811	0.0872265917108462	-0.912048154409191	5.22436292212285	86.2319724539942	1.73672836976189e-08	3.60660591453885e-06
KAF5832490	-0.631630143684086	0.014342794703699	-1.00066800149789	8.11700886650173	85.5777814193341	1.81534915797235e-08	3.64826621102186e-06
KAF5832973	-1.46710876787381	-0.314137654332217	-0.665510244558395	9.56974851358661	84.7122843967501	1.92581791954475e-08	3.74932676211368e-06
KAF5829915	2.97332966707443	-0.420149863286754	1.77353849054349	5.24088555382392	81.3690595131888	2.43283116744527e-08	4.59289035551032e-06
KAF5834661	-1.77300238298987	-0.0362146848755385	-0.691735609694886	6.77439058154095	80.7150931268463	2.54934018383245e-08	4.67129098390475e-06
KAF5843760	-1.21723737973306	0.146521489694142	-0.3509552935177	5.76824074114477	78.7620417201295	2.93794027786671e-08	5.22953369460274e-06
KAF5831703	-1.10784302781227	0.0556827436672865	-0.35110965159237	10.990997047038	75.9790235133448	3.6173431518433e-08	6.10540540865404e-06
KAF5840762	-1.72423057788142	-0.153867080540174	-0.722232569720334	5.41817914276224	75.9475821364165	3.62600321220224e-08	6.10540540865404e-06
KAF5835953	1.15193287032017	0.0614169302109735	0.483106906239087	7.97247707195071	74.5536918441154	4.03533940955825e-08	6.61583276882839e-06
KAF5843420	-2.01437993602813	0.564736748875814	-1.17414162809009	3.54711154082615	73.281961659205	4.45637882607857e-08	7.11877950935115e-06
KAF5828991	1.5231758881807	0.0941852307480842	0.624063013076449	7.92260703418646	72.6753921150598	4.67508398663602e-08	7.2814433091856e-06
KAF5828016	3.34766773415701	-0.276766201382053	2.39706061851268	5.1445837091172	72.2377156762055	4.84066601321378e-08	7.35545103959069e-06
KAF5834937	2.82086653584344	0.240664049738936	1.02351960854281	2.45574570227259	70.8213836703829	5.42523398516306e-08	7.89442213536488e-06
KAF5836703	-1.22549895908578	-0.125212530438506	-0.51495827256148	8.9143146471745	70.768060525353	5.44879858460176e-08	7.89442213536488e-06
KAF5841486	-2.99906098822123	-0.36324370566895	-1.29114647765442	10.2469945361505	70.1121187519159	5.74863924491231e-08	8.13955056722812e-06
KAF5837581	-1.18903082572418	-0.0459827123103392	-0.424528776982083	8.50001646095555	68.8993622221843	6.35510110141227e-08	8.76117959563563e-06
KAF5842842	-4.58057864953882	0.280173995656693	-1.95998920736809	3.02838121550188	68.6867631814098	6.46892875440191e-08	8.76117959563563e-06
KAF5827766	-3.25218162810802	0.168281921549707	-1.42372985050807	3.32410388004522	68.2407166453962	6.71554714798239e-08	8.90167207062346e-06
KAF5833381	3.065759364595	0.135547495384102	1.6108232850348	2.85767802478727	67.4273736068791	7.19397998533786e-08	9.32842080353604e-06
KAF5841847	-2.43325310257439	-0.0811309933175076	-1.08446582983654	5.3768543950235	67.0135771503826	7.45255373532137e-08	9.32842080353604e-06
KAF5828398	1.19850370402615	-0.00327688073219283	0.131734182348056	4.61162278052828	66.8265641916129	7.57295307934688e-08	9.32842080353604e-06
KAF5839051	-1.46493725218499	-0.203545508581118	-0.650593811586711	5.64223035372394	66.5631882519357	7.74637487645448e-08	9.32842080353604e-06
KAF5842037	-1.06460621258408	0.0189418938171627	-0.499230404430006	7.30837615851893	66.5037308395824	7.78616182638642e-08	9.32842080353604e-06
KAF5833742	2.63417285233234	0.237651087033443	1.12559923570352	3.52537704570431	65.1677426925654	8.74610582227405e-08	9.90939006303582e-06
KAF5833743	2.63417285233234	0.237651087033443	1.12559923570352	3.52537704570431	65.1677426925654	8.74610582227405e-08	9.90939006303582e-06
KAF5833744	2.63693953999354	0.245024891122008	1.12954079451725	3.34980063017863	64.8223683867304	9.0162367434042e-08	9.90939006303582e-06
KAF5833382	3.06511607901689	0.135001998345281	1.61039810770453	2.63366072169713	64.74133873426	9.08101179784336e-08	9.90939006303582e-06
KAF5843392	-1.97686082544479	-0.102800603411979	-0.689848187241044	4.07308830072753	64.6629144634164	9.14422033638231e-08	9.90939006303582e-06
KAF5840253	-1.05239989824531	0.138310105138012	-0.38451580814012	8.45827967887958	64.5630700684679	9.22543537168664e-08	9.90939006303582e-06
KAF5837245	-1.16762598786591	-0.0114921725628304	-0.589030339331015	10.744896637962	64.0482483851539	9.65776148475365e-08	1.01302594353685e-05
KAF5838848	1.28420108300406	0.186665452817665	0.478961696997689	7.23798554901696	63.9346913361394	9.75626911913502e-08	1.01302594353685e-05
KAF5829909	-2.21858060745269	-0.33447386742228	-1.06211319662239	7.9796383540876	62.808683344236	1.07990683882664e-07	1.10292124686721e-05
KAF5839430	-3.19639044783652	-0.710648304992106	-1.47600833692152	4.81218623806676	62.4313462390879	1.11771473050751e-07	1.12192072340865e-05
KAF5839144	-1.34692851287424	0.0901492608040276	-0.476381003525431	6.99045725114452	62.2682995369303	1.13452657423346e-07	1.12192072340865e-05
