Reaction,Pvalue,Padj,Reject,FC,Padj_bootstrap
R01655__cytop,0.0,0.0,True,-0.6912643875205999,
BMGR6230__cytop,0.0,0.0,True,0.9992718785945611,
T_PI160tr__ermem,0.0,0.0,True,-1.0,
BMGR0160__er,0.0,0.0,True,1.0,
BMGR5662__er,0.0,0.0,True,-0.6797433044712105,
BMGR5635__er,0.0,0.0,True,-1.0,
R00214__mito,0.0,0.0,True,1.0,
R07459__chlo,1.9910433863701831e-50,2.9126120394900965e-50,True,-1.0,
BMGR6179__cytop,0.0,0.0,True,1.0,
R07461__chlo,1.9910433863701831e-50,2.9126120394900965e-50,True,-1.0,
BMGR0199__er,0.0,0.0,True,0.9999142608316766,
R00160__cytop,0.0,0.0,True,0.9998051757200805,
T_VTC__vacmem,0.0,0.0,True,-1.0,
TZ2900062t__plas,0.0,0.0,True,-0.9999419853686558,
BMGR0457__chlo,0.0,0.0,True,-0.9722986607961841,
BMGR3164__er,0.0,0.0,True,-1.0,
BMGR4846__chlomem,0.0,0.0,True,-1.0,
R01775__chlo,0.0,0.0,True,1.0,
T_FA162COAtr__ermem,0.0,0.0,True,0.9895412806253507,
BMGR6164__nucl,0.0,0.0,True,1.0,
BMGR6175__nucl,0.0,0.0,True,1.0,
R03182__mito,1e-323,2.5e-323,True,-1.0,
R01600__cytop,0.0,0.0,True,1.0,
R02719__cytop,0.0,0.0,True,0.8493143973811285,
R00897__cytop,0.0,0.0,True,1.0,
T_PC161180tr__ermem,1.3398419879754772e-25,1.6806213978347189e-25,True,0.7705293414852993,
BMGR0039__chlo,0.0,0.0,True,1.0,
R00767__cytop,0.0,0.0,True,1.0,
BMGR6140__er,0.0,0.0,True,0.6925239246811764,
BMGR5930__chlo,0.0,0.0,True,1.0,
BMGR6168__nucl,0.0,0.0,True,1.0,
BMGR6338__er,0.0,0.0,True,1.0,
T_PE181181tr__ermem,1.7135055745556546e-35,2.3065161080060818e-35,True,-0.8245959230035316,
BMGR0131__chlo,0.0,0.0,True,0.9998377446951466,
BMGR5879__er,0.0,0.0,True,-1.0,
R01083__cytop,0.0,0.0,True,0.9956583887249605,
EX_C00001__dra,0.0,0.0,True,-6.13387527506179,
TI3000051tr__ermem,0.0,0.0,True,1.0,
