logFC..ML...LL	logFC..HL...LL	logCPM	F	PValue	FDR
KAF5842381	0.214236397878379	-1.16929726779579	9.58154223204629	242.78716430123	6.01264203812409e-10	5.35636855609055e-08
ACS95054	-0.627772233280765	1.58624750733413	8.64947357475673	242.313585434068	6.07722723332918e-10	5.35691587914721e-08
KAF5827535	1.61272127679409	-0.168431537488654	5.74414712770858	238.94168871743	6.56148017866175e-10	5.67621835198135e-08
KAF5830191	-0.26408569106947	-0.947587319996876	11.0195866870034	238.85158291173	6.57503200551935e-10	5.67621835198135e-08
KAF5839025	-2.24878765932149	0.541383901740594	5.33752355423019	232.769320175639	7.5710989909149e-10	6.46942683162463e-08
KAF5831753	0.300819343892425	-1.8993825033748	5.96602059469021	231.308861098128	7.8361275158464e-10	6.62825573916139e-08
KAF5835125	1.9356568488859	0.250031414334016	5.98394658589901	230.863086777376	7.91918980783283e-10	6.63152954507921e-08
KAF5841484	0.134911853830103	-1.41006886549034	7.1279438984121	230.323045462016	8.02121125473288e-10	6.64953035603285e-08
KAF5827053	0.762645274353304	-1.28839675529291	6.6339472460914	229.914093894975	8.0994995977472e-10	6.64953035603285e-08
KAF5835137	1.52324789737285	0.0169188996819701	6.45215158237543	228.662864761391	8.34468491694448e-10	6.78430985383428e-08
KAF5835879	0.0927969649691626	-1.16706281803442	7.79134910176193	227.145258437294	8.65390621591121e-10	6.96805871654235e-08
KAF5833992	0.393261821988584	-1.08049958630537	6.33455630031337	226.522044812285	8.78478890358426e-10	6.96891919620593e-08
KAF5836492	0.624566704000088	-1.11560747011283	5.74832849406498	226.34959507971	8.82141670405814e-10	6.96891919620593e-08
KAF5827214	0.839434833812407	-0.512284131728367	8.92829533526881	224.307136399812	9.2692145774784e-10	7.25424325904712e-08
KAF5829940	0.863325852607321	-0.429271640298356	6.90953812643187	223.925270373473	9.35588144362426e-10	7.25427326008422e-08
KAF5832720	0.474445944030116	-1.90334643630071	6.47384105304678	223.493782748256	9.45496209439745e-10	7.26383968609947e-08
KAF5840868	1.13981910685349	-0.0188655132814025	6.2319844113911	222.41937236201	9.70709678797762e-10	7.38974804568405e-08
KAF5838031	1.6514502405764	-1.0534364863278	5.18878455955287	220.571501935313	1.01595282000422e-09	7.63737003782159e-08
KAF5837483	0.257852045330056	-1.050410357694	6.38733981826986	220.241734333327	1.02428586512711e-09	7.63737003782159e-08
KAF5828228	-0.105357294624826	-1.51742680444326	8.20030532147183	219.994036598428	1.03059805860263e-09	7.63737003782159e-08
